loan_amnt,term,int_rate,grade,sub_grade,annual_inc,dti,purpose,home_ownership,loan_status
17500.0,60,15.61,D,D1,58000.0,16.45,credit_card,MORTGAGE,Fully Paid
2400.0,36,13.65,C,C1,75000.0,14.61,debt_consolidation,MORTGAGE,Fully Paid
30000.0,60,19.03,D,D3,75000.0,9.82,other,RENT,Charged Off
9600.0,36,7.99,A,A5,91000.0,13.07,major_purchase,MORTGAGE,Fully Paid
25000.0,60,23.5,F,F1,65500.0,15.66,debt_consolidation,MORTGAGE,Fully Paid
30225.0,60,24.83,G,G2,117000.0,10.57,debt_consolidation,MORTGAGE,Charged Off
21600.0,60,24.49,E,E3,115000.0,23.99,debt_consolidation,RENT,Fully Paid
10000.0,36,12.69,C,C2,51000.0,25.97,other,RENT,Fully Paid
2700.0,36,14.49,C,C4,70000.0,19.65,debt_consolidation,RENT,Fully Paid
12000.0,36,13.99,C,C4,141000.0,9.84,debt_consolidation,OWN,Fully Paid
15200.0,60,17.57,D,D4,47200.0,32.8,credit_card,RENT,Fully Paid
25525.0,60,24.5,F,F3,92000.0,31.06,home_improvement,MORTGAGE,Charged Off
18400.0,60,27.31,G,G2,40000.0,17.13,car,RENT,Charged Off
5000.0,36,11.99,B,B5,99350.0,16.93,debt_consolidation,MORTGAGE,Fully Paid
24000.0,36,5.32,A,A1,114000.0,5.93,debt_consolidation,MORTGAGE,Fully Paid
21000.0,36,7.9,A,A4,82000.0,17.53,debt_consolidation,MORTGAGE,Charged Off
20000.0,36,11.53,B,B5,65000.0,14.5,credit_card,RENT,Fully Paid
19000.0,36,14.33,C,C1,43256.0,30.76,debt_consolidation,RENT,Charged Off
20000.0,60,10.99,B,B4,90000.0,18.96,debt_consolidation,MORTGAGE,Charged Off
28000.0,36,6.99,A,A3,100000.0,25.53,credit_card,RENT,Fully Paid
6000.0,36,13.67,B,B5,65000.0,14.44,home_improvement,MORTGAGE,Fully Paid
8500.0,36,10.07,B,B2,74000.0,14.58,debt_consolidation,MORTGAGE,Fully Paid
15000.0,36,14.47,C,C2,60000.0,21.08,debt_consolidation,OWN,Fully Paid
12000.0,60,30.84,G,G2,32000.0,35.63,debt_consolidation,RENT,Charged Off
10000.0,36,20.99,E,E1,75000.0,12.32,debt_consolidation,OWN,Charged Off
10500.0,60,26.49,F,F2,42000.0,2.14,debt_consolidation,RENT,Charged Off
15000.0,60,13.99,C,C4,60000.0,21.52,debt_consolidation,RENT,Fully Paid
24675.0,60,24.49,E,E3,57987.0,28.66,debt_consolidation,RENT,Fully Paid
7200.0,36,17.56,D,D1,75000.0,19.5,credit_card,MORTGAGE,Fully Paid
30500.0,36,15.31,C,C5,61000.0,31.2,debt_consolidation,RENT,Fully Paid
